Name,Identifier,Weight,Sector,Shares Held
Mettler-Toledo International Inc.,MTD,0.084845,Health Care,277255
Cadence Design Systems Inc.,CDNS,0.084832,Information Technology,3148367
State Street Corporation,STT,0.083314,Financials,4224592
Halliburton Company,HAL,0.082899,Energy,9700806
Concho Resources Inc.,CXO,0.082366,Energy,2238318
Fifth Third Bancorp,FITB,0.081867,Financials,8145555
Boston Properties Inc.,BXP,0.081762,Real Estate,1722323
Hartford Financial Services Group Inc.,HIG,0.081641,Financials,4007224
Align Technology Inc.,ALGN,0.081597,Health Care,805860
Synopsys Inc.,SNPS,0.081547,Information Technology,1668050
Cintas Corporation,CTAS,0.081475,Industrials,947492
AMETEK Inc.,AME,0.081446,Industrials,2537208
Aptiv PLC,APTV,0.081348,Consumer Discretionary,2921174
Ameriprise Financial Inc.,AMP,0.081335,Financials,1509098
MSCI Inc. Class A,MSCI,0.080922,Financials,939929
United Airlines Holdings Inc.,UAL,0.080844,Industrials,2521529
Northern Trust Corporation,NTRS,0.080598,Financials,2462679
Essex Property Trust Inc.,ESS,0.080365,Real Estate,733048
Clorox Company,CLX,0.079515,Consumer Staples,1429527
Corteva Inc,CTVA,0.079314,Materials,8375226
KLA-Tencor Corporation,KLAC,0.07915,Information Technology,1839915
Entergy Corporation,ETR,0.079114,Utilities,2113930
Hewlett Packard Enterprise Co.,HPE,0.078465,Information Technology,14999141
Ulta Beauty Inc,ULTA,0.07773,Consumer Discretionary,625210
McCormick & Company Incorporated,MKC,0.076872,Consumer Staples,1366513
Weyerhaeuser Company,WY,0.07677,Real Estate,8301378
Kraft Heinz Company,KHC,0.076215,Consumer Staples,6939950
Royal Caribbean Cruises Ltd.,RCL,0.075709,Consumer Discretionary,1913905
Hershey Company,HSY,0.075674,Consumer Staples,1540576
Republic Services Inc.,RSG,0.075232,Industrials,2402335
CBS Corporation Class B,CBS,0.074984,Communication Services,3942580
Ameren Corporation,AEE,0.074919,Utilities,2726794
Rockwell Automation Inc.,ROK,0.074198,Industrials,1325740
Omnicom Group Inc,OMC,0.073982,Communication Services,2468342
Church & Dwight Co. Inc.,CHD,0.073755,Consumer Staples,2740934
Carnival Corporation,CCL,0.073115,Consumer Discretionary,4452476
Vulcan Materials Company,VMC,0.07253,Materials,1479608
Amcor PLC,AMCR,0.072184,Materials,18182192
Chipotle Mexican Grill Inc.,CMG,0.071944,Consumer Discretionary,271314
KeyCorp,KEY,0.071816,Financials,11241296
ResMed Inc.,RMD,0.071367,Health Care,1597012
ANSYS Inc.,ANSS,0.071162,Information Technology,939931
Kroger Co.,KR,0.070456,Consumer Staples,9036611
Laboratory Corporation of America Holdings,LH,0.070293,Health Care,1121346
Fastenal Company,FAST,0.069478,Industrials,6386860
Best Buy Co. Inc.,BBY,0.068622,Consumer Discretionary,2596825
International Paper Company,IP,0.068617,Materials,4500653
Maxim Integrated Products Inc.,MXIM,0.068258,Information Technology,3105149
Nucor Corporation,NUE,0.067585,Materials,3486561
Diamondback Energy Inc.,FANG,0.067557,Energy,1724710
First Republic Bank,FRC,0.067402,Financials,1859914
Keysight Technologies Inc,KEYS,0.067396,Information Technology,2095548
CMS Energy Corporation,CMS,0.067195,Utilities,3178558
Arthur J. Gallagher & Co.,AJG,0.067181,Financials,2051808
Citizens Financial Group Inc.,CFG,0.066865,Financials,5247854
Equifax Inc.,EFX,0.065965,Industrials,1347046
Cooper Companies Inc.,COO,0.065806,Health Care,549796
Alexandria Real Estate Equities Inc.,ARE,0.06542,Real Estate,1257092
CBRE Group Inc. Class A,CBRE,0.065261,Real Estate,3483864
Cincinnati Financial Corporation,CINF,0.06504,Financials,1699481
Symantec Corporation,SYMC,0.064415,Information Technology,7066653
Freeport-McMoRan Inc.,FCX,0.063568,Materials,15982992
Hess Corporation,HES,0.063536,Energy,2837620
Expedia Group Inc.,EXPE,0.062778,Consumer Discretionary,1308109
Regions Financial Corporation,RF,0.062496,Financials,11452495
Western Digital Corporation,WDC,0.062331,Information Technology,3206019
Teleflex Incorporated,TFX,0.062264,Health Care,517213
Waters Corporation,WAT,0.061857,Health Care,796112
HCP Inc.,HCP,0.061827,Real Estate,5288204
Copart Inc.,CPRT,0.061261,Industrials,2226514
Principal Financial Group Inc.,PFG,0.060917,Financials,2920201
Broadridge Financial Solutions Inc.,BR,0.060811,Information Technology,1283900
Loews Corporation,L,0.060736,Financials,3065242
Genuine Parts Company,GPC,0.060648,Consumer Discretionary,1629086
Gartner Inc.,IT,0.060484,Information Technology,995900
Evergy Inc.,EVRG,0.060305,Utilities,2734440
D.R. Horton Inc.,DHI,0.059906,Consumer Discretionary,3764715
Darden Restaurants Inc.,DRI,0.05989,Consumer Discretionary,1366369
NetApp Inc.,NTAP,0.059728,Information Technology,2752125
DXC Technology Co.,DXC,0.059423,Information Technology,2989235
CarMax Inc.,KMX,0.05922,Consumer Discretionary,1861855
Huntington Bancshares Incorporated,HBAN,0.058475,Financials,11774672
Xylem Inc.,XYL,0.058273,Industrials,2004116
MGM Resorts International,MGM,0.058191,Consumer Discretionary,5641050
CenterPoint Energy Inc.,CNP,0.058161,Utilities,5585703
WellCare Health Plans Inc.,WCG,0.057901,Health Care,563519
Incyte Corporation,INCY,0.057641,Health Care,1980424
AmerisourceBergen Corporation,ABC,0.057168,Health Care,1762398
Cardinal Health Inc.,CAH,0.057153,Health Care,3305176
International Flavors & Fragrances Inc.,IFF,0.057022,Materials,1115375
Dover Corporation,DOV,0.056936,Industrials,1627615
Arista Networks Inc.,ANET,0.056781,Information Technology,582820
Extra Space Storage Inc.,EXR,0.0563,Real Estate,1420673
Skyworks Solutions Inc.,SWKS,0.055854,Information Technology,1968732
Mid-America Apartment Communities Inc.,MAA,0.055534,Real Estate,1270822
Martin Marietta Materials Inc.,MLM,0.055437,Materials,687642
Quest Diagnostics Incorporated,DGX,0.055225,Health Care,1489142
Lennar Corporation Class A,LEN,0.054879,Consumer Discretionary,3214990
Kellogg Company,K,0.054557,Consumer Staples,2788719
Celanese Corporation,CE,0.05417,Materials,1435324
Lincoln National Corporation,LNC,0.053897,Financials,2275317
Host Hotels & Resorts Inc.,HST,0.053769,Real Estate,8263442
MarketAxess Holdings Inc.,MKTX,0.053653,Financials,422366
American Airlines Group Inc.,AAL,0.053355,Industrials,4508239
DENTSPLY SIRONA Inc.,XRAY,0.05331,Health Care,2620796
Akamai Technologies Inc.,AKAM,0.053263,Information Technology,1806432
Tractor Supply Company,TSCO,0.052949,Consumer Discretionary,1337097
Conagra Brands Inc.,CAG,0.052935,Consumer Staples,5376137
UDR Inc.,UDR,0.052594,Real Estate,3156645
Take-Two Interactive Software Inc.,TTWO,0.052319,Communication Services,1253052
J.M. Smucker Company,SJM,0.052083,Consumer Staples,1269385
Baker Hughes a GE Company Class A,BHGE,0.051752,Energy,5722475
Fox Corporation Class A,FOXA,0.051138,Communication Services,3932819
Hologic Inc.,HOLX,0.051132,Health Care,2996710
Wynn Resorts Limited,WYNN,0.050509,Consumer Discretionary,1078963
Citrix Systems Inc.,CTXS,0.050409,Information Technology,1411233
Atmos Energy Corporation,ATO,0.049966,Utilities,1303265
Expeditors International of Washington Inc.,EXPD,0.049826,Industrials,1919923
Cboe Global Markets Inc,CBOE,0.049705,Financials,1227617
Hasbro Inc.,HAS,0.049656,Consumer Discretionary,1287842
Varian Medical Systems Inc.,VAR,0.049308,Health Care,1018235
Textron Inc.,TXT,0.049202,Industrials,2614594
Kansas City Southern,KSU,0.048767,Industrials,1123607
Fortinet Inc.,FTNT,0.048745,Information Technology,1618393
Nasdaq Inc.,NDAQ,0.048435,Financials,1299662
Seagate Technology PLC,STX,0.048079,Information Technology,2875755
ABIOMED Inc.,ABMD,0.04797,Health Care,503133
Devon Energy Corporation,DVN,0.047762,Energy,4651077
Alliant Energy Corp,LNT,0.047477,Utilities,2634803
Duke Realty Corporation,DRE,0.047233,Real Estate,4009187
W.W. Grainger Inc.,GWW,0.047135,Industrials,500551
Comerica Incorporated,CMA,0.046532,Financials,1790010
CenturyLink Inc.,CTL,0.046485,Communication Services,10748451
Masco Corporation,MAS,0.046211,Industrials,3383271
Regency Centers Corporation,REG,0.045932,Real Estate,1868680
Marathon Oil Corporation,MRO,0.045792,Energy,9362670
Advance Auto Parts Inc.,AAP,0.045482,Consumer Discretionary,812173
C.H. Robinson Worldwide Inc.,CHRW,0.045403,Industrials,1529641
Vornado Realty Trust,VNO,0.045392,Real Estate,1934695
Westinghouse Air Brake Technologies Corporation,WAB,0.045323,Industrials,1812226
SVB Financial Group,SIVB,0.045073,Financials,579508
AES Corporation,AES,0.044916,Utilities,7391285
Universal Health Services Inc. Class B,UHS,0.044544,Health Care,947264
E*TRADE Financial Corporation,ETFC,0.044503,Financials,2744215
FMC Corporation,FMC,0.044493,Materials,1501506
Raymond James Financial Inc.,RJF,0.044292,Financials,1447828
Hormel Foods Corporation,HRL,0.044236,Consumer Staples,2995114
Viacom Inc. Class B,VIAB,0.043963,Communication Services,3869356
NiSource Inc,NI,0.043916,Utilities,4151976
TechnipFMC Plc,FTI,0.04358,Energy,4760344
Noble Energy Inc.,NBL,0.043068,Energy,5394863
Norwegian Cruise Line Holdings Ltd.,NCLH,0.043024,Consumer Discretionary,2419902
United Rentals Inc.,URI,0.042876,Industrials,911169
Pinnacle West Capital Corporation,PNW,0.042675,Utilities,1257540
Jack Henry & Associates Inc.,JKHY,0.04251,Information Technology,854212
PerkinElmer Inc.,PKI,0.042471,Health Care,1236901
Franklin Resources Inc.,BEN,0.042082,Financials,3372005
Eastman Chemical Company,EMN,0.041904,Materials,1553103
Henry Schein Inc.,HSIC,0.041848,Health Care,1681710
Cabot Oil & Gas Corporation,COG,0.041464,Energy,4860199
Everest Re Group Ltd.,RE,0.041447,Financials,450304
Discovery Inc. Class C,DISCK,0.041434,Communication Services,3965647
Arconic Inc.,ARNC,0.041223,Industrials,4473101
CF Industries Holdings Inc.,CF,0.041184,Materials,2557643
Allegion PLC,ALLE,0.041007,Industrials,1047375
Tiffany & Co.,TIF,0.040547,Consumer Discretionary,1202182
Molson Coors Brewing Company Class B,TAP,0.04049,Consumer Staples,2063231
Apache Corporation,APA,0.040151,Energy,4190632
Huntington Ingalls Industries Inc.,HII,0.039709,Industrials,476230
Lamb Weston Holdings Inc.,LW,0.039596,Consumer Staples,1635214
Avery Dennison Corporation,AVY,0.039479,Materials,955608
Jacobs Engineering Group Inc.,JEC,0.039371,Industrials,1307321
Federal Realty Investment Trust,FRT,0.039133,Real Estate,829222
Mylan N.V.,MYL,0.038757,Health Care,5681013
NRG Energy Inc.,NRG,0.03859,Utilities,2992535
Garmin Ltd.,GRMN,0.037709,Consumer Discretionary,1332350
Torchmark Corporation,TMK,0.037541,Financials,1142806
Brown-Forman Corporation Class B,BF.B,0.037365,Consumer Staples,1849609
Mohawk Industries Inc.,MHK,0.037111,Consumer Discretionary,695309
DISH Network Corporation Class A,DISH,0.03671,Communication Services,2509864
Packaging Corporation of America,PKG,0.036664,Materials,1034106
WestRock Company,WRK,0.036469,Materials,2812442
Juniper Networks Inc.,JNPR,0.036302,Information Technology,3827598
Western Union Company,WU,0.035991,Information Technology,4921502
Whirlpool Corporation,WHR,0.035902,Consumer Discretionary,702501
Interpublic Group of Companies Inc.,IPG,0.035164,Communication Services,4224650
Zions Bancorporation N.A.,ZION,0.035138,Financials,2139311
Snap-on Incorporated,SNA,0.034901,Industrials,622398
Tapestry Inc.,TPR,0.034463,Consumer Discretionary,3236259
F5 Networks Inc.,FFIV,0.034273,Information Technology,670020
Qorvo Inc.,QRVO,0.034088,Information Technology,1372015
National Oilwell Varco Inc.,NOV,0.03377,Energy,4280170
PulteGroup Inc.,PHM,0.033708,Consumer Discretionary,2877809
Iron Mountain Inc.,IRM,0.033518,Real Estate,3152857
LKQ Corporation,LKQ,0.032962,Consumer Discretionary,3505894
BorgWarner Inc.,BWA,0.032196,Consumer Discretionary,2302807
Nielsen Holdings Plc,NLSN,0.032178,Industrials,3928547
Invesco Ltd.,IVZ,0.031937,Financials,4501652
Apartment Investment and Management Company Class A,AIV,0.031874,Real Estate,1723640
Kohl's Corporation,KSS,0.0318,Consumer Discretionary,1844383
Mosaic Company,MOS,0.031484,Materials,3906956
Fortune Brands Home & Security Inc.,FBHS,0.030816,Industrials,1566254
HollyFrontier Corporation,HFC,0.030808,Energy,1785716
Campbell Soup Company,CPB,0.030695,Consumer Staples,2096068
Kimco Realty Corporation,KIM,0.030665,Real Estate,4658902
Alaska Air Group Inc.,ALK,0.030653,Industrials,1351291
Albemarle Corporation,ALB,0.030228,Materials,1195283
J.B. Hunt Transport Services Inc.,JBHT,0.029883,Industrials,950313
FLIR Systems Inc.,FLIR,0.02892,Information Technology,1503040
DaVita Inc.,DVA,0.028241,Health Care,1397243
Unum Group,UNM,0.028113,Financials,2403085
Xerox Corporation,XRX,0.02784,Information Technology,2225083
SL Green Realty Corp.,SLG,0.027763,Real Estate,952361
Alliance Data Systems Corporation,ADS,0.027678,Information Technology,522051
Robert Half International Inc.,RHI,0.027634,Industrials,1346437
Assurant Inc.,AIZ,0.027169,Financials,688706
Sealed Air Corporation,SEE,0.027086,Materials,1749028
PVH Corp.,PVH,0.026716,Consumer Discretionary,844973
Flowserve Corporation,FLS,0.026536,Industrials,1433881
People's United Financial Inc.,PBCT,0.026484,Financials,4418111
Macy's Inc,M,0.025742,Consumer Discretionary,3357167
A. O. Smith Corporation,AOS,0.025208,Industrials,1587367
Perrigo Co. Plc,PRGO,0.025167,Health Care,1384842
Ralph Lauren Corporation Class A,RL,0.024683,Consumer Discretionary,619996
Pentair plc,PNR,0.024,Industrials,1808377
Harley-Davidson Inc.,HOG,0.023699,Consumer Discretionary,1832183
Hanesbrands Inc.,HBI,0.023387,Consumer Discretionary,4059062
Fox Corporation Class B,FOX,0.023304,Communication Services,1791202
L Brands Inc.,LB,0.022951,Consumer Discretionary,2514827
Nektar Therapeutics,NKTR,0.022852,Health Care,1902092
Newell Brands Inc,NWL,0.022693,Consumer Discretionary,4332084
H&R Block Inc.,HRB,0.02262,Consumer Discretionary,2244181
Cimarex Energy Co.,XEC,0.022253,Energy,1130841
Helmerich & Payne Inc.,HP,0.022136,Energy,1193322
Jefferies Financial Group Inc.,JEF,0.021966,Financials,2927682
Rollins Inc.,ROL,0.021732,Industrials,1627360
Quanta Services Inc.,PWR,0.021723,Industrials,1619757
Capri Holdings Limited,CPRI,0.021419,Consumer Discretionary,1703080
News Corporation Class A,NWSA,0.019896,Communication Services,4200204
Leggett & Platt Incorporated,LEG,0.019656,Consumer Discretionary,1449713
IPG Photonics Corporation,IPGP,0.01963,Information Technology,396505
Under Armour Inc. Class A,UAA,0.019397,Consumer Discretionary,2038236
Discovery Inc. Class A,DISCA,0.019379,Communication Services,1710459
Affiliated Managers Group Inc.,AMG,0.019193,Financials,588519
Foot Locker Inc.,FL,0.019017,Consumer Discretionary,1286001
TripAdvisor Inc.,TRIP,0.018555,Communication Services,1126967
Under Armour Inc. Class C,UA,0.017173,Consumer Discretionary,2064110
Gap Inc.,GPS,0.015702,Consumer Discretionary,2411815
Macerich Company,MAC,0.014086,Real Estate,1180164
Nordstrom Inc.,JWN,0.013814,Consumer Discretionary,1261155
Coty Inc. Class A,COTY,0.013559,Consumer Staples,3366776
News Corporation Class B,NWS,0.006142,Communication Services,1256728
